DATA_ID,PRED_ID,PREY_SOURCE_NAME,PREY_DATABASE_NAME,BASIS_OF_PREY_ID,PHYSIOLOG_STATE,SED_ORIGIN,PREY_PARTS,PREY_LIFE_HIST_STAGE,PREY_COND_INDEX,PREY_SEX,PREY_SEX_RATIO,PREY_LEN_TYPE,PREY_MIN_LEN,PREY_MAX_LEN,PREY_MN_LEN,PREY_MIN_WIDTH,PREY_MAX_WIDTH,PREY_MN_WIDTH,BIOMASS,BIOMASS_QUALIFIER,PCT_BIOMASS,PCT_BIOMASS_QUALIFIER,N_CONS,N_CONS_AVG,N_CONS_QUALIFIER,PCT_N_CONS,PCT_N_CONS_QUALIFIER,VOL_CONS,VOL_CONS_QUALIFIER,PCT_VOL_CONS,PCT_VOL_CONS_QUALIFIER,FREQ_OCC,FREQ_OCC_QUALIFIER,PCT_FREQ_OCC,PCT_FREQ_OCC_QUALIFIER,IRI,PCT_IRI,IRIa,IIR,E,PREY_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_21S,Soce.1,Callinectes sapidus,Callinectes sapidus,NA,NA,NA,NA,NA,NA,NA,NA,CW,25,75,50,NA,NA,NA,NA,NA,0.1884,NA,NA,NA,NA,NA,NA,NA,0.0866,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Callinectes similis,Callinectes similis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0084,NA,NA,NA,NA,NA,NA,NA,0.0057,NA,NA,NA,0.0238,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Callinectes spp.,Callinectes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,NA,NA,NA,NA,NA,NA,NA,0.0085,NA,NA,NA,0.0238,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Penaeus setiferus,Penaeus setiferus,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,100,62.5,NA,NA,NA,NA,NA,0.2119,NA,NA,NA,NA,NA,NA,NA,0.3849,NA,NA,NA,0.2262,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Penaeus aztecus,Penaeus aztecus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0063,NA,NA,NA,NA,NA,NA,NA,0.0085,NA,NA,NA,0.0179,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Eurypanopeus depressus,Eurypanopeus depressus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031,NA,NA,NA,NA,NA,NA,NA,0.0043,NA,NA,NA,0.0119,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Menippe adina,Menippe adina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,0.0059,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Xanthidae spp.,Xanthidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Palaemonetes spp.,Palaemon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,NA,NA,0.0043,NA,NA,NA,0.0179,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Petrolisthes armatus,Petrolisthes armatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Alpheus estuariensis,Alpheus estuariensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,NA,0.0028,NA,NA,NA,0.0119,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,UID crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0128,NA,NA,NA,NA,NA,NA,NA,0.0114,NA,NA,NA,0.0536,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,UID shrimp,Dendrobranchiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1303,NA,NA,NA,NA,NA,NA,NA,0.2173,NA,NA,NA,0.3929,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Brevoortia patronus,Brevoortia patronus,NA,NA,NA,NA,NA,NA,NA,NA,TL,25,60,42.5,NA,NA,NA,NA,NA,0.0903,NA,NA,NA,NA,NA,NA,NA,0.0284,NA,NA,NA,0.0298,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Anchoa mitchilli,Anchoa mitchilli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,0.0085,NA,NA,NA,0.0179,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Arius felis,Ariopsis felis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0072,NA,NA,NA,NA,NA,NA,NA,0.0028,NA,NA,NA,0.0119,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Mugil spp.,Mugil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0712,NA,NA,NA,NA,NA,NA,NA,0.0099,NA,NA,NA,0.0298,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Symphurus plagiusa,Symphurus plagiusa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0757,NA,NA,NA,NA,NA,NA,NA,0.0625,NA,NA,NA,0.0833,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Ophichthus gomesi,Ophichthus gomesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0756,NA,NA,NA,NA,NA,NA,NA,0.0369,NA,NA,NA,0.0952,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Sphoeroides parvus,Sphoeroides parvus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0026,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Porichthys plectrodon,Porichthys plectrodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0068,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Priontus spp.,Prionotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,0.0071,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,UID fish,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00737,NA,NA,NA,NA,NA,NA,NA,0.1023,NA,NA,NA,0.2321,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Actiniaria,Actiniaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046,NA,NA,NA,NA,NA,NA,NA,0.0007,NA,NA,NA,0.0238,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Isopoda,Isopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,0.0028,NA,NA,NA,0.0119,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Mytiloida,Mytiloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,Crassostrea virginica,Crassostrea virginica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.1,UID remains,Organic Matter,NA,remains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0417,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Callinectes sapidus,Callinectes sapidus,NA,NA,NA,NA,NA,NA,NA,NA,CW,25,75,NA,NA,NA,NA,NA,NA,0.0887,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA,0.1953,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Callinectes similis,Callinectes similis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,0.0093,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Callinectes spp.,Callinectes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,NA,NA,0.0009,NA,NA,NA,0.0186,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Penaeus aztecus,Penaeus aztecus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0059,NA,NA,NA,NA,NA,NA,NA,0.0033,NA,NA,NA,0.0419,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Menippe adina,Menippe adina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0099,NA,NA,NA,NA,NA,NA,NA,0.0011,NA,NA,NA,0.0186,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Xanthidae spp.,Xanthidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0063,NA,NA,NA,NA,NA,NA,NA,0.0026,NA,NA,NA,0.0512,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Palaemontes spp.,Palaemon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,0.0047,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Macrobrachium ohione,Macrobrachium ohione,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,0.0047,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Alpheus estuariensis,Alpheus estuariensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,0.0047,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,UID crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,UID shrimp,Dendrobranchiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0082,NA,NA,NA,NA,NA,NA,NA,0.0033,NA,NA,NA,0.0791,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Brevoortia patronus,Brevoortia patronus,NA,NA,NA,NA,NA,NA,NA,NA,TL,25,60,NA,NA,NA,NA,NA,NA,0.6882,NA,NA,NA,NA,NA,NA,NA,0.9522,NA,NA,NA,0.3535,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Paralichthys lethostigma,Paralichthys lethostigma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,0.0047,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Lagodon rhomboides,Lagodon rhomboides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0045,NA,NA,NA,NA,NA,NA,NA,0.0011,NA,NA,NA,0.0233,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Mugil cephalus,Mugil cephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0201,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,0.0047,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Mugil spp.,Mugil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058,NA,NA,NA,NA,NA,NA,NA,0.0007,NA,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Symphurus plagiusa,Symphurus plagiusa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,0.0047,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Ophichthus gomesi,Ophichthus gomesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074,NA,NA,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,0.0186,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Opsanus beta,Opsanus beta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,0.0047,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,Membras martinica,Membras martinica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0419,NA,NA,NA,NA,NA,NA,NA,0.0134,NA,NA,NA,0.0279,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,UID fish,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0508,NA,NA,NA,NA,NA,NA,NA,0.0044,NA,NA,NA,0.1814,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
ACT_21S,Soce.2,UID remains,Organic Matter,NA,remains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1256,NA,NA,NA,NA,NA,NA,NA,9/9/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell,
AVE_1C,Aame.1,Shoalgrass rhizomes,Halodule wrightii,NA,NA,NA,rhizome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,12/2/2016,Rebecca Lund,6/12/2017,Theresa Mitchell,6/14/2017,Theresa Mitchell,
AVE_1C,Aame.1,unidentified organic material,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,12/2/2016,Rebecca Lund,6/12/2017,Theresa Mitchell,6/14/2017,Theresa Mitchell,
AVE_1C,Aame.1,Anachis avara,Costoanachis avara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,12/2/2016,Rebecca Lund,6/12/2017,Theresa Mitchell,6/14/2017,Theresa Mitchell,
AVE_1C,Aame.1,Neritina virginea,Neritina virginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,12/2/2016,Rebecca Lund,6/12/2017,Theresa Mitchell,6/14/2017,Theresa Mitchell,
